Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/nnrf/register,46,0,56,57.38587682651047,49.821416003396735,80.33116600563517,1093.5434782608695,11.669023740548454,0.0,56,57,60,61,65,90,90,90,90,90,90
,Aggregated,46,0,56,57.38587682651047,49.821416003396735,80.33116600563517,1093.5434782608695,11.669023740548454,0.0,56,57,60,61,65,90,90,90,90,90,90
