nfInstanceId,malicious,verdict,timestamp
14682c9c-5749-4dee-831b-7653b0d681e0,1,CRITICAL,1749653714
6a9b7ee5-1a37-4676-8981-27c576ed53cd,0,OK,1749653714
7e7b2c68-b00c-4a6f-91b6-8b2fae978624,1,CRITICAL,1749653714
9c80f65c-5eee-4827-b096-a312f0f2d168,0,OK,1749653715
4bbce3b0-fa81-45cc-9462-fd32a4b8f6ef,0,OK,1749653715
0f7ee304-a6ca-4e34-bbec-3866ea210481,0,OK,1749653715
1dc17e1f-0375-4c91-b02b-1ffee8bb6c3a,0,OK,1749653715
48f8ce8b-251a-4b35-9c5e-08f26a56eeb1,1,CRITICAL,1749653715
518c0486-f81e-4934-a90c-8b145dcb0145,1,CRITICAL,1749653716
5ae63a66-d0b4-4ee0-86a1-e32306295c60,1,CRITICAL,1749653716
b040a75c-6c1a-4fa5-a123-9a433a560a2d,0,OK,1749653716
a3a27205-70ac-4c55-ad99-73c227b8073f,1,CRITICAL,1749653716
845669a0-a3ae-4950-b952-fa94de884654,0,OK,1749653717
6ea94e94-80ee-4665-bfd9-cd7f73681096,0,OK,1749653717
24db708b-10a6-497f-a534-d7d2ae3a39fa,0,OK,1749653717
aaabe5b4-ae46-4aff-912a-21df4e6db58d,0,OK,1749653717
2432e2de-3451-457e-8a28-b6632265e213,0,OK,1749653717
42583c6b-65ac-46e4-8a2e-d9d1904e154d,0,OK,1749653718
5e0b920c-10a2-488b-81c5-dc42108216e1,0,OK,1749653718
bcd96216-792d-4543-8d1b-040ec1f47a35,0,OK,1749653718
3008cbcf-8a85-4d07-a4bf-5373e5b040bb,1,CRITICAL,1749653718
73b8f759-11d5-4733-98c9-e40cd09092de,0,OK,1749653718
f7e8b597-cde4-426c-ad4f-e76ee34caff8,1,CRITICAL,1749653718
bdef4162-f5a7-4de7-8183-844a87040e47,0,OK,1749653719
a642267f-3517-47e9-96c0-3a74db566abd,0,OK,1749653719
650b0b1b-be9a-46d2-8bc9-246754a80af8,0,OK,1749653719
3bf027e7-8d54-4d92-a6f6-acb7674ad137,0,OK,1749653719
a01a1ed7-0c75-4b76-837f-9afdbb348c6c,0,OK,1749653720
5366e2b7-6532-4432-bf05-9d3bd7ae521b,0,OK,1749653720
e3b09dca-4e93-4241-8d3d-2e67abede78f,1,CRITICAL,1749653720
efb8a8ca-7389-4334-82dd-25b228950de4,0,OK,1749653720
c9a45dc0-3391-476a-a7c6-3fafc04a8f14,0,OK,1749653720
fbfdae5b-7e85-4d85-83f3-b5220d866da8,0,OK,1749653720
519cade5-be68-4bca-af12-35fd9511ac81,0,OK,1749653721
80639f28-ad0e-4df0-883b-52f61a0cb4fd,0,OK,1749653721
66b259b7-9c03-40b3-bcd3-7502d22bb4f6,1,CRITICAL,1749653721
3907e4dc-ea3f-4fe5-9c59-f5e9d8cb260e,0,OK,1749653721
54bd843b-d0d0-400d-bcd2-c512625a6b95,0,OK,1749653722
f6f02fda-1be1-45bc-8666-00990dbed2de,0,OK,1749653722
4b58df9e-df5f-458b-a1e1-dc4d41d21984,0,OK,1749653722
12346756-586c-40fe-89b8-0079306f8526,0,OK,1749653722
6d8cf23f-3176-4797-935b-839caae29dc2,0,OK,1749653722
4ce73fbd-5912-4495-a0b4-4e73199797d2,0,OK,1749653723
9cc88df9-8a90-423c-80d4-4f19abe9d208,0,OK,1749653723
a67a69c3-feb0-4f16-ba99-d1d2d941d601,1,CRITICAL,1749653723
a605d5a2-5b2a-4bf1-92dd-a2ce87f9a70b,0,OK,1749653723
d894ee0c-86f1-4259-ba3b-ecd222ab8aad,0,OK,1749653724
d3256ded-c3fd-4d3b-96a5-2d7ac16fac2e,0,OK,1749653724
c66ab272-1400-4e31-ab64-faf2e7f1cf3b,0,OK,1749653724
