Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/nnrf/register,46,0,58,62.97368754356917,50.37037500005681,91.73525000369409,1092.8478260869565,11.539366913118316,0.0,58,63,70,72,85,79,92,92,92,92,92
,Aggregated,46,0,58,62.97368754356917,50.37037500005681,91.73525000369409,1092.8478260869565,11.539366913118316,0.0,58,63,70,72,85,79,92,92,92,92,92
